Original name,Name (key),Crop,Stage,Treatment,Rate (lb/ac),Rate (note),Sand-Silt-Clay,Sand-Silt-Clay (note),OM,pH,Nitrate N,Po4P of pH < 6,Po4P of pH > 6,Potassium,Magnesium,Calcium,Sulfur,Zinc,Manganese,Copper,Iron,Boron,Potassium (CEC),Magnesium (CEC),Calcium (CEC),Sodium (cation) (CEC),Hydrogen (cation) (CEC),Total CEC (CEC),SO4 (conductivity),Chlorine (conductivity),Sodium (conductivity),EC (conductivity),Fizz Test (conductivity),Water Soluble Carbon,H2O Capacity %,Orthophosphate-p (H3A Extraction),Phosphorous (H3A Extraction),Potassium (H3A Extraction),Magnesium (H3A Extraction),Calcium (H3A Extraction),Sodium (H3A Extraction),Iron (H3A Extraction),Aluminum (H3A Extraction),Nitrate (WSE),Ammonical Nitogen (WSE),Orthophosphate-P (WSE),Carbon (WSE),Total Nitrogen (WSE),CO2C Burst (Haney),Organic carbon (Haney),Organic nitrogen (Haney),Organic C/N ration (Haney),Haney Test,Nitrogen Credit via Haney,Alternaria (Pathogen),Collectotrichum (Pathogen),Clindrocarpon (Pathogen),Fusarium (Pathogen),Phytophthora (Pathogen),Pythium (Pathogen),Rhizoctonia (Pathogen),Stemphyllium (Pathogen),Verticillium (Beneficial),Macrophomina (Beneficial),Bptryosphaeria sp. (Beneficial),Aspergillus (Beneficial),Cladosporium (Beneficial),Penicillium (Beneficial),Rhizopus (Beneficial),Trichoderma (Beneficial)
Matthews Ridgeview MK3 NH 2/12/20,Mathews,Sweet potato,Pre-Novium Aplication,Novihum,300,,6-74-20,,2,7,6.8,,15.9,85.8,223.8,1181.2,5.1,2.3,26,1.2,43.4,0.2,2.7,23.1,73.2,0.9,0,8.1,15.3,26.3,17.3,0.2,1,,,10.3,15,39,58,300,11,65,41,4,3.9,2.01,339.7,25,143,339.7,17.1,19.9,19.4,42,,,,,,,,,,,,,,,,
Sunridge Camanche New Planting 5/18/20,Sunridge,Vineyards,Pre-Novium Aplication,Control,0,,60-18-22,,2.1,8,16.8,,8,155.6,226.6,2934.7,16.5,6.1,21.7,3.1,12.9,1.6,2.3,11,85.1,1.5,0,17.2,49.5,2.7,61.1,0.5,1,,,92,100,93,98,886,64,18,84,21,3.1,1.3,265.6,35.6,53,265.6,11.5,23.1,9.1,25,,,,,,,,,,,,,,,,
Sunridge Camanche New Planting 5/18/20,Sunridge,Vineyards,Pre-Novium Aplication,Novihum,300,,54-20-26,,2.3,8.1,16.1,,6,131.6,173.5,2629.8,34.1,11.7,25,3.6,13.3,2.1,2.2,9.5,86.7,1.4,0,15.2,102.3,2.7,50.9,0.5,1,,,119.3,133,81,110,1174,64,17,103,19,1.7,1.57,201.3,28.1,38,201.3,7.4,27.2,6.6,15,,,,,,,,,,,,,,,,
Surdul Sihota North East  10/28/19,Surdul,Almods,Pre-Novium Aplication,Control,0,,84-8-8,est,1.1,6.2,73.7,,11.1,52.5,58.9,576.6,5.1,1.4,9.5,1.3,14.5,0.1,3.4,12.5,73.5,2.4,8,3.6,15.3,18.1,22,0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surdul Sihota North West  10/28/19,Surdul,Almods,Pre-Novium Aplication,Control,0,,84-8-8,est,0.8,7.6,7.6,,9.6,54.7,63,866.6,8,1.1,15,1,14.2,0.1,2.8,10.3,85.2,1.6,0,5.1,24,13.3,18.9,0.2,1,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surdul Sihota South East  10/28/19,Surdul,Almods,Pre-Novium Aplication,Control,0,,84-8-8,est,1.3,5.4,9.6,9.8,,33.7,52.8,538.7,0,2.6,27.2,2,47,0,2.2,11.3,68.9,1.5,16,3.3,0,12.5,14.2,0.2,1,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surdul Sihota South West  10/28/19,Surdul,Almods,Pre-Novium Aplication,Control,0,,84-8-8,est,0.9,7.8,18.3,,15.2,87.4,108.7,1186,10.4,1.3,5.9,1,15.8,0.1,3.1,12.6,82.6,1.6,0,7.2,31.2,19.6,26.9,0.4,1,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surdul Sihota  6-5-20,Surdul,Almods,Mid-growth,Control,0,,84-8-8,,1.2,6.8,64.6,,26.9,169.9,86.4,787.8,9.8,2.2,13.4,1.2,16.8,0.6,8.3,13.7,74.9,1,2,5.2,29.4,0.1,13.1,1.2,1,,,52,59,109,39,267,10,20,21,67,4.3,8.47,172.5,72.3,25,172.5,1,172.5,4.3,10,,,,,,,,,,,,,,,,
Surdul Sihota back 340 lbs/acre 6-5-20,Surdul,Almods,Mid-growth,Novihum,340,,78-14-8,,1,6.7,82.3,,28.3,134.5,66.3,755.4,31.6,0.9,11.4,1.1,17.6,0.3,7,11.1,76.1,2.7,3,4.8,94.8,15.4,30.9,1.5,1,,,77.5,108,110,63,394,34,22,36,96,1.2,10.77,132.4,98.1,25,132.4,0.09,147.1,3.9,4,,,,,,,,,,,,,,,,
Surdul Sihota front 340 lbs/acre 6-5-20,Surdul,Almods,Mid-growth,Novihum,340,,86-6-8,,1.2,7.1,13.4,,32.9,173.3,110.1,1045.7,13.2,2.8,11.5,1.2,19.8,0.6,6.6,13.6,77.5,2.2,0,6.7,39.6,14.2,34.1,0.7,1,,,55.6,64,73,42,315,17,21,23,12,1,6.57,146,17.4,44,146,4.4,33.2,6.3,11,,,,,,,,,,,,,,,,
Surdul Sihota back 1500 lbs/acre 6-5-20,Surdul,Almods,Mid-growth,Novihum,1500,,76-16-8,,1,7.6,8.3,,52.5,120.6,93.6,772.9,4.7,1.3,8.2,0.8,16.7,0.5,6.1,15.5,76.7,1.6,0,5,14.1,0.4,18.7,0.6,1,,,65.5,84,88,56,364,19,16,28,14,1,11.96,143.8,20.4,37,143.8,5.4,26.6,5.7,13,,,,,,,,,,,,,,,,
Surdul Sihota  8/27/20,Surdul,Almods,Mid-growth Fall,Control,0,,64-18-18,,1.1,6.6,75,,15.8,249.6,94.7,922.5,25.1,5.2,24.5,1.3,22.6,0.8,10.1,12.5,73.1,0.1,4,6.1,75.3,7.3,2.8,1.4,1,,,14.5,18,47,56,329,15,24,43,25,1.6,13.47,167.5,30,53,167.5,3.4,49.3,7.3,10,,,,,,,,,,,,,,,,
Surdul Sihota back 340 lbs/acre 8/27/20,Surdul,Almods,Mid-growth Fall,Novihum,340,,80-14-6,,1.5,6.5,241.9,,19.6,258,119.2,1095.6,77.7,2.7,15.5,1.4,21.2,0.5,8.6,12.9,71.1,2.3,5,7.3,233.1,16.7,40.9,2.3,1,,,71.4,75,105,58,377,32,27,29,76,3.7,6.45,201.7,81.5,13,201.7,1.8,112.1,3.5,8,,,,,,,,,,,,,,,,
Surdul Sihota front 340 lbs/acre 8/27/20,Surdul,Almods,Mid-growth Fall,Novihum,340,,78-14-8,,2,6.8,50.8,,15.1,109.2,55.6,737.1,BDL,4.2,9.8,1.1,21,0.2,6.1,10.1,80.2,1.5,2,4.5,BDL,7,16.7,0.5,1,,,68.6,73,160,71,392,43,16,23,178,12.3,3.82,140.5,191.8,8,140.5,1.5,93.7,2.4,25,,,,,,,,,,,,,,,,
Surdul Sihota back 1500 lbs/acre 8/27/20,Surdul,Almods,Mid-growth Fall,Novihum,1500,,78-14-8,,1.7,7,28,,47.1,103.7,84,987.4,BDL,3.5,7.9,1.1,17,0.4,4.4,11.7,82.5,1.2,0,6,BDL,4.7,17.4,0.4,1,,,74.8,86,66,66,358,28,30,57,25,1.6,6.48,115,28.2,7,115,1.6,71.9,2,4,,,,,,,,,,,,,,,,
Cherry Creek CCO Tomato 7/17/20,Cherry,Orchard,Mid-growth,Control,0,,52-22-26,,1.5,7,15.4,,22.7,114.9,97.8,1690.9,14.2,2,71.1,2.1,102.9,0.5,3.1,8.5,87.9,0.5,0,9.6,42.6,,12.4,0.4,1,,,6.4,9,50,26,387,9,48,58,6,2.3,1.11,192.4,14.4,40,192.4,6.1,31.5,6.5,15,,,,,,,,,,,,,,,,
Cherry Creek NHTRT Tomato 7/17/20,Cherry,Orchard,Mid-growth,Novihum,1200,est,50-12-38,,1.5,7,11.3,,16.1,164.6,208.9,1636.2,21.4,0.5,24.6,0.3,73.4,0.5,4.1,16.7,78.5,0.6,0,10.4,64.2,5.8,16.4,0.3,1,,,4,6,65,45,275,8,23,61,12,1.3,0.49,88.4,14.4,32,88.4,1.1,80.4,4.2,5,,,,,,,,,,,,,,,,
Wente Compost,Wente,Vineyards,Spring,Control,0,,46-30-24,est,5.1,7,19.6,,10.1,224.5,561.5,2399.7,136.1,3.9,39.8,1.1,30.1,1.2,3.3,26.9,68.9,0.8,0,17.4,408.3,30.4,33.3,1.6,1,,,15,20,95,184,435,21,27,65,16,2.9,3.49,476.5,33.4,64,476.5,14.5,32.9,12.6,21,,,,,,,,,,,,,,,,
Wente,Wente,Vineyards,Spring,Novihum,920,,44-30-26,,5.9,6.9,37.1,,13.2,313.2,531.9,2939.9,191.1,4.9,41.4,1,28.8,1,3.9,21.7,72,1.3,1,20.2,573.3,68,61.9,2.3,1,,,25.1,30,98,148,429,18,33,55,10,3.1,7.23,381.1,26.5,79,381.1,13.4,28.4,13.1,28,,,,,,,,,,,,,,,,
Wente Compost,Wente,Vineyards,Fall,Control,0,,46-30-24,,4.3,6.5,22,,11.8,199.1,596.5,3027.6,600.6,3.8,40.1,1.6,37.4,1.1,2.3,22.5,68.3,1.8,5,21,1801.8,68.6,94,2.8,1,,,25,32,87,224,575,70,55,91,20,1.7,2.31,262.1,26.3,99,262.1,4.6,57,13,13,,,,,,,,,,,,,,,,
Wente,Wente,Vineyards,Fall,Novihum,920,,44-30-26,,5.3,6.5,21.8,,24.9,230.3,409.3,2369.9,298,5.3,52.5,1.6,36.6,1,3.5,20.1,69.9,1.4,5,16.1,894,60.9,57,2,1,,,27.3,35,125,166,472,45,52,72,31,2.6,5.1,492.7,44.7,159,492.7,11.1,44.4,21.9,27,,,,,,,,,,,,,,,,
Booth Lemon 9-10-20,Booth,Lemon,Mid-growth After Aplication,Control,0,,82-10-8,,1.7,7.1,39.5,,13.1,118.7,179.7,1743.8,23.6,17.7,13.7,15.4,35.6,0.2,2.9,14.2,82.8,1,0,10.5,70.8,2.9,1,0.4,1,,,59.9,65,135,56,373,18,22,22,88,4.5,6.67,165.2,93.2,19,165.2,0.7,236,3.6,10,,,,,,,,,,,,,,,,
Booth Lemon 9-10-20 NH,Booth,Lemon,Mid-growth After Aplication,Novihum,600,,62-20-18,,1.2,6.8,47.7,,12.4,138.1,199.5,1859.7,BDL,15.5,15.8,12.9,27.6,0.2,3.1,14.4,80.5,0.8,2,11.3,BDL,8.2,0.9,0.6,1,,,18.1,22,65,66,386,17,30,52,44,1.6,6,158.2,45.9,20,158.2,0.3,527.3,3.6,4,,,,,,,,,,,,,,,,
Allen Ishida Lemon Young  9-10-20,Allen,Lemon,Mid-growth After Aplication,Control,0,,32-28-40,,8,7.9,23.5,,160,547,520.3,5260.6,51.2,10,11,16.2,12.6,1.7,4.4,13.5,81.7,0.4,0,32.2,123.6,13.3,31.1,0.6,3,,,44.3,51,96,115,931,17,9,67,16,1.2,3.29,171,19.8,24,171,2.6,65.8,4.4,5,,,,,,,,,,,,,,,,
Allen Ishida Lemon Young  9-10-20,Allen,Lemon,Mid-growth After Aplication,Novihum,1800,,28-30-42,,7.7,7.8,37.8,,14.1,525.7,475.6,5226.9,92.4,10.8,9.7,17.6,12.1,1.7,4.3,12.5,82.6,0.4,0,31.6,277.2,13.3,36,0.9,2,,,50.8,59,98,118,982,21,9,76,31,1.1,3.24,181,32.4,24,181,0.3,603.3,4.2,3,,,,,,,,,,,,,,,,
Allen Ishida Lemon Grafted  9-10-20,Allen,Lemon,Mid-growth After Aplication,Control,0,,30-28-42,,7.5,7.6,14.6,,18.1,618.4,522.8,550.3,99.1,10.7,12.1,18.3,15,1.6,4.7,12.9,82.1,0.3,0,33.8,297.3,18.4,23.5,1,3,,,41.5,50,91,115,937,14,9,65,24,1.1,4.44,169.6,26.6,29,169.6,1.5,113.1,4.7,4,,,,,,,,,,,,,,,,
Allen Ishida Lemon Grafted  9-10-20,Allen,Lemon,Mid-growth After Aplication,Novihum,1800,,30-32-38,,7.4,7.7,17.7,,18.3,561.9,495.4,5203,90.2,10.3,10.5,17.2,14.5,1.4,4.5,13,82.1,0.2,0,31.7,270.6,16.8,19.3,1,3,,,51.3,61,108,156,1464,17,9,76,36,1,4.54,159.9,38.5,30,159.9,1.5,106.6,4.7,4,,,,,,,,,,,,,,,,
Allen Ishida Orange 10-16-19,Allen,Orange,,Control,0,,44-30-26,,2.4,6.6,16.9,,12.6,196.3,370,1824.6,15.9,13.2,40.1,15.1,18.6,0.6,3.8,23.2,68.5,0.4,4,12.8,47.7,6.7,14.2,0.5,1,,43.9,17.9,22,86,107,323,19,24,89,19,1.7,1.66,100.7,22.7,31,100.7,2,50.4,4.3,7,,,,,,,,,,,,,,,,
Allen Ishida Orange 10-16-19,Allen,Orange,,Novihum,1200,,42-34-24,,2.7,6.5,25.5,,10,212,409,1954.9,14.7,14.8,46.5,17,14.9,0.7,3.7,23.5,67.2,0.5,5,13.8,44.1,6.5,18.5,0.6,1,,47.9,22.5,27,102,144,248,25,30,123,57,5.4,1.48,153.2,65.9,96,153.2,3.5,43.8,11.5,18,,,,,,,,,,,,,,,,
Allen Ishida Orange 5-4-20,Allen,Orange,Mid-growth After Aplication,Control,0,,44-24-32,est,3.9,6.6,22.6,,15.5,188.3,504.4,2392.9,<0.1,10.1,10.5,14.8,19.9,0.6,2.8,24.1,68.5,0.5,4,16.8,0,<0.1,22.9,0.1,1,,,14.1,16,71,95,415,16,34,101,7,1.4,2.02,151.3,13.1,44,151.3,4.7,32.2,6.4,12,,,,,,,,,,,,,,,,
Allen Ishida Orange 5-4-20,Allen,Orange,Mid-growth After Aplication,Novihum,1200,,44-24-32,,3.4,6.2,12.5,,14.9,182.8,395.5,2134.5,16.1,15.4,11.7,20.8,18.5,0.7,3,20.9,67.6,0.4,8,14.5,48.3,<0.1,15.4,0.1,1,,,20.2,23,78,88,430,18,30,89,9,1.1,2.93,164.3,15.8,46,164.3,5.7,28.8,6.8,14,,,,,,,,,,,,,,,,
Allen Ishida Orange 9-10-20,Allen,Orange,Mid-growth After Aplication,Control,0,,48-22-30,,3.8,6.8,28.7,,19.4,276.6,452.3,2408.8,5.1,13.7,17.8,20.2,18.3,0.6,4.2,22.2,70.9,0.6,2,16.6,15.3,2.7,23.8,0.6,1,,,22.9,28,84,97,383,21,26,91,36,1.8,2.9,198.6,39.5,50,198.6,1.7,116.8,7.2,7,,,,,,,,,,,,,,,,
Allen Ishida Orange 9-10-20,Allen,Orange,Mid-growth After Aplication,Novihum,1200,,44-24-32,,4,6.6,32.9,,30.6,277.5,537.6,2533.5,1.3,10.7,26.3,17.6,21.2,0.5,3.8,23.9,67.6,0.5,4,18,3.9,19.1,25.4,0.5,2,,,17.2,22,88,118,417,24,31,101,37,2.2,2.08,191.7,40.7,21,191.7,1.5,127.8,4.2,6,,,,,,,,,,,,,,,,
Triangle Homen Ranch 12-7-20,Triangle,Vineyards,Fallow,Control,0,,68-14-18,,1.7,7.4,37.7,,34.2,387.8,376.3,1802.9,261.8,2.3,8.5,2.9,11.1,1.5,7.1,22.3,64.1,6.4,0,14.1,785.4,155,209.1,2,1,,,82.3,96,197,187,498,147,22,108,31,2.1,6.55,300.4,31.2,18,300.4,28.1,10.7,7.6,18,,,,,,,,,,,,,,,,
Triangle Homen Ranch 12-7-20 750 lbs/acre,Triangle,Vineyards,Fallow,Novihum,750,,64-16-20,,1.7,7.4,50.4,,31.1,386,464,1787.7,207,2.7,7.8,2.4,10.5,1.6,6.6,25.8,59.5,8.1,0,15,621,160.4,279.9,2.2,1,,,62.9,79,122,160,418,126,16,90,43,2.2,6.59,226.3,55.7,14,226.3,10.5,21.6,4.7,10,,,,,,,,,,,,,,,,
Triangle Homen Ranch 12-7-20 1500 lbs/acre,Triangle,Vineyards,Fallow,Novihum,1500,,68-14-18,,1.5,7.6,41.1,,28.6,309,417.2,1677.7,152.3,2.4,8.9,3.1,11.3,1.5,5.8,25.6,61.7,6.7,0,13.6,456.9,146,211.2,1.7,1,,,74.3,89,131,177,411,127,19,103,30,1.6,5.17,187.6,40.1,29,187.6,8.5,22.1,5.6,14,,,,,,,,,,,,,,,,
Creekside Farms  12/1/20,Creekside,Wine Grapes,,Control,0,,48-24-28,,4,5.4,12.9,29.7,,370.7,623.8,1005.5,35.4,2,13.8,1.7,164.6,0.3,6.7,36.5,35.3,5.4,16,12,106.2,36.8,179.6,0.4,1,,,33.8,48,110,115,223,128,123,186,8,2.2,6.41,467.3,30.2,76,467.3,20,23.4,14.3,30,,,,,,,,,,,,,,,,
Creekside Farms  12/1/20,Creekside,Wine Grapes,,Novihum,750,,50-26-24,,3.3,7.8,30.7,,26.7,434.6,560.9,1176.9,22.1,2.5,7.5,0.8,46.9,1.6,8.3,34.7,43.6,13.3,0,13.5,66.3,83.6,414.2,0.9,1,,,67.1,79,173,217,386,201,75,117,42,2.8,14.23,421.2,74.3,35,421.2,29.5,14.3,10.7,25,,,,,,,,,,,,,,,,
Kreps Farms Home  12/3/20,Kreps,Pistachio,,Control,0,,64-16-20,,1.1,7.4,8.9,,16.6,105.6,210.1,1485.8,28.7,,4.1,0.8,11.2,0.5,2.8,18.1,76.6,2.5,0,9.7,86.1,25.8,56.3,0.3,1,,,28.5,34,53,73,289,44,23,70,8,0.9,3.08,101.1,12.6,10,101.1,3.7,27.3,2.4,5,,,,,,,,,,,,,,,,
Kreps Farms Home 1/2 12/3/20,Kreps,Pistachio,,Novihum,600,,54-28-18,,1.8,7.1,16.3,,21.4,133.7,155.6,848.7,10.3,0.2,11.8,1,16.2,0.8,5.5,20.9,68.3,5.2,0,6.2,30.9,73.2,75,0.4,1,,,30.2,36,76,60,306,62,28,59,14,0.8,5.53,119.9,19.1,18,119.9,4.3,27.9,3.4,7,,,,,,,,,,,,,,,,
Kreps Farms Home High 12/3/20,Kreps,Pistachio,,Novihum,1200,,68-14-18,,1.4,7.5,53.6,,26.8,132.9,196.6,3070,9.8,0.4,5.2,0.8,7.6,1.1,1.9,9.2,86.3,2.5,0,17.8,29.4,84,103.4,0.8,3,,,49.8,56,58,110,1376,74,11,70,51,1.1,2.84,142.4,55.4,9,142.4,3.3,43.2,2.7,4,,,,,,,,,,,,,,,,
Wine Group Almaden Cellars 12/3/20,Wine,Vineyards,Chard,Control,0,,64-18-18,,1.6,7.5,9.8,,20.9,100.7,103.8,1132.2,11.2,2,11.9,4.1,17.5,0.6,3.7,12.3,80.2,3.8,0,7.1,33.6,28.8,63.1,0.4,1,,,18.2,23,58,54,365,54,24,48,8,0.8,2.26,140,15.1,21,140,6.3,22.2,4.1,9,,,,,,,,,,,,,,,,
Wine Group Almaden Cellars 12/3/20,Wine,Vineyards,Chard,Novihum,625.00977,,66-18-16,,1.5,6.7,36.4,,27,183.7,94.8,912.5,94,3.9,21.8,4.8,25.4,0.8,7.3,12.2,70.4,7.1,30,6.3,282,70.1,105.8,1,1,,,23.7,30,91,49,362,72,28,34,31,1.4,4.23,144.4,37,24,144.4,4.6,31.4,4.3,9,,,,,,,,,,,,,,,,
Wine Group Almaden Cellars 12/3/20,Wine,Vineyards,Merlot,Control,0,,60-22-18,,1.4,7.2,19.7,,28.1,143.8,78.3,864,11.8,2.3,22.1,5.6,23.7,0.4,6.6,11.7,77.4,4.2,0,5.6,35.4,24.2,55.1,0.5,1,,,11.3,15,70,41,320,50,26,35,24,1.4,2.66,168.2,31.1,38,168.2,5.7,29.5,6.1,13,,,,,,,,,,,,,,,,
Wine Group Almaden Cellars 12/3/20,Wine,Vineyards,Merlot,Novihum,625.00977,,66-18-16,,1.4,6.9,43.8,,20.2,180.8,121.5,1409.6,90.8,3.5,20.4,5,17.3,1,5.1,11.2,78,4.6,1,8.9,272.4,78.6,96.2,1.2,1,,,47.2,56,111,69,412,82,34,53,50,1.5,6.77,192.9,59.9,32,192.9,8.4,23,6,14,,,,,,,,,,,,,,,,
